Algorithm,Size,Comparisons,Assignments,TotalOperations,MaxRecursionDepth,TimeMillis
HybridMergeSort,100,572,908,1480,0,8220543,323
QuickSort,100,621,1254,1875,5,8220552,449
InsertionSort,100,2836,2938,5774,0,8220553,260
HybridMergeSort,500,3905,6237,10142,0,8220553,819
QuickSort,500,4957,10821,15778,7,8220554,308
InsertionSort,500,63641,64146,127787,0,8220557,085
HybridMergeSort,1000,8822,13989,22811,0,8220557,596
QuickSort,1000,11148,21969,33117,8,8220557,855
InsertionSort,1000,255457,256462,511919,0,8220558,974
HybridMergeSort,5000,55738,87161,142899,0,8220559,917
QuickSort,5000,72149,138900,211049,9,8220560,864
InsertionSort,5000,6229277,6234282,12463559,0,8220565,306
HybridMergeSort,10000,121689,189523,311212,0,8220566,580
QuickSort,10000,152028,275445,427473,10,8220567,311
InsertionSort,10000,25040182,25050193,50090375,0,8220586,579
